City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
191,Airai,TL,2021-10-18 05:37:13,-8.9266,125.4092,74.05,63,47,1.34
192,Puerto Leguizamo,CO,2021-10-18 05:37:13,-0.1934,-74.7819,70.65,98,100,2.19
193,Labrea,BR,2021-10-18 05:37:14,-7.2586,-64.7981,72.1,98,95,1.01
194,Turayf,SA,2021-10-18 05:37:14,31.6725,38.6637,59.25,82,0,5.75
195,Chapais,CA,2021-10-18 05:37:15,49.7834,-74.8492,40.78,96,100,8.5
196,San Joaquin,US,2021-10-18 05:37:15,37.9333,-121.3011,56.28,73,90,6.91
197,Koungou,YT,2021-10-18 05:37:16,-12.7336,45.2042,82.11,65,0,11.5
198,Chirongui,YT,2021-10-18 05:37:16,-12.9319,45.1483,82.33,74,5,12.33
199,Georgetown,MY,2021-10-18 05:35:14,5.4112,100.3354,89.53,70,40,8.01
200,Tadine,NC,2021-10-18 05:37:17,-21.55,167.8833,76.32,84,100,2.75
201,Beringovskiy,RU,2021-10-18 05:37:17,63.05,179.3167,31.55,82,100,13.98
202,Geraldton,AU,2021-10-18 05:37:18,-28.7667,114.6,79.21,34,0,13.8
203,Lakes Entrance,AU,2021-10-18 05:37:18,-37.8811,147.981,66.58,65,99,5.35
204,Sedro-Woolley,US,2021-10-18 05:37:19,48.5039,-122.2361,51.13,96,90,0.0
205,Kieta,PG,2021-10-18 05:37:19,-6.2167,155.6333,83.84,68,80,3.78
206,Severo-Kurilsk,RU,2021-10-18 05:37:20,50.6789,156.125,40.51,82,66,37.45
207,Port Lincoln,AU,2021-10-18 05:37:20,-34.7333,135.8667,63.75,57,57,11.56
208,Baruun-Urt,MN,2021-10-18 05:37:21,46.6806,113.2792,38.08,32,31,7.29
209,Karasuk,RU,2021-10-18 05:37:22,53.7377,78.0403,49.24,49,31,10.49
210,Andijon,UZ,2021-10-18 05:37:22,40.7821,72.3442,65.55,93,100,2.57
211,Portland,US,2021-10-18 05:35:53,45.5234,-122.6762,53.47,91,90,1.01
212,Lazaro Cardenas,MX,2021-10-18 05:37:23,17.9583,-102.2,77.83,89,4,3.89
213,Minab,IR,2021-10-18 05:37:23,27.1467,57.0801,89.1,15,0,1.99
214,Coahuayana,MX,2021-10-18 05:37:24,18.7333,-103.6833,76.86,90,15,2.98
215,Rognan,NO,2021-10-18 05:37:24,67.0953,15.3878,38.05,87,100,2.71
216,Morondava,MG,2021-10-18 05:37:25,-20.2833,44.2833,81.16,64,74,6.71
217,Bilma,NE,2021-10-18 05:37:25,18.6853,12.9164,80.96,24,52,5.59
218,Poum,NC,2021-10-18 05:37:26,-20.2333,164.0167,77.14,81,100,6.24
219,Novoagansk,RU,2021-10-18 05:37:27,61.9449,76.6625,43.18,74,88,12.86
220,Lata,PT,2021-10-18 05:37:28,40.1629,-8.3327,65.05,94,100,2.01
221,Luderitz,NA,2021-10-18 05:37:28,-26.6481,15.1594,67.53,31,30,12.95
222,Awbari,LY,2021-10-18 05:37:28,26.5921,12.7805,74.1,20,7,7.05
223,Yar-Sale,RU,2021-10-18 05:37:29,66.8333,70.8333,37.36,95,100,16.15
224,Bengkulu,ID,2021-10-18 05:37:29,-3.8004,102.2655,79.32,80,100,3.91
225,Aswan,EG,2021-10-18 05:32:38,24.0934,32.907,83.84,21,0,21.18
226,Salta,AR,2021-10-18 05:37:30,-24.7859,-65.4117,64.99,51,75,0.0
227,Shuyskoye,RU,2021-10-18 05:37:30,59.3736,41.0305,36.73,89,7,7.29
228,Talnakh,RU,2021-10-18 05:37:31,69.4865,88.3972,34.05,100,100,12.17
229,Carnarvon,AU,2021-10-18 05:37:31,-24.8667,113.6333,78.87,36,11,13.8
230,Isla Vista,US,2021-10-18 05:37:32,34.4133,-119.861,59.9,82,75,0.0
231,Hambantota,LK,2021-10-18 05:37:32,6.1241,81.1185,89.94,66,20,13.8
232,Carutapera,BR,2021-10-18 05:37:33,-1.195,-46.02,77.94,84,59,5.91
233,Naryan-Mar,RU,2021-10-18 05:37:33,67.6713,53.087,35.06,98,100,8.68
234,Terme,TR,2021-10-18 05:37:34,41.2092,36.9739,61.97,92,100,8.63
235,Clarksville,US,2021-10-18 05:37:23,36.5298,-87.3595,50.25,92,1,0.0
236,Khorixas,NA,2021-10-18 05:37:35,-20.3667,14.9667,69.42,22,11,9.08
237,Pochutla,MX,2021-10-18 05:37:36,15.7432,-96.4661,74.82,88,100,4.65
238,Sitka,US,2021-10-18 05:37:36,57.0531,-135.33,46.29,49,90,16.11
239,Russell,US,2021-10-18 05:37:37,32.3502,-85.1999,51.8,92,1,0.0
240,Aksum,ET,2021-10-18 05:37:38,14.1245,38.7244,67.14,33,48,13.8
241,Acari,PE,2021-10-18 05:37:38,-15.4311,-74.6158,65.52,79,58,4.0
242,Waingapu,ID,2021-10-18 05:37:39,-9.6567,120.2641,88.61,59,40,7.85
243,Mae Sai,TH,2021-10-18 05:37:39,20.4335,99.8762,81.72,56,66,3.96
244,La Asuncion,VE,2021-10-18 05:37:40,11.0333,-63.8628,80.28,91,16,10.69
245,Cayenne,GF,2021-10-18 05:37:40,4.9333,-52.3333,80.1,86,20,0.0
246,Ostrovnoy,RU,2021-10-18 05:37:41,68.0531,39.5131,39.83,77,98,6.38
247,Mayumba,GA,2021-10-18 05:37:41,-3.432,10.6554,76.37,84,100,4.59
248,Khvalynsk,RU,2021-10-18 05:37:42,52.4906,48.1058,51.91,84,100,4.32
249,Naze,JP,2021-10-18 05:37:42,28.3667,129.4833,76.12,60,100,11.95
250,Diamantino,BR,2021-10-18 05:37:44,-14.4086,-56.4461,74.8,82,97,2.98
251,Mahebourg,MU,2021-10-18 05:37:44,-20.4081,57.7,79.09,65,40,18.41
252,Pokhara,NP,2021-10-18 05:37:45,28.2333,83.9833,68.45,93,100,3.53
253,Calama,CL,2021-10-18 05:37:45,-22.4667,-68.9333,47.93,21,0,6.31
254,San Antonio,US,2021-10-18 05:33:00,29.4241,-98.4936,59.97,72,20,0.0
255,Port Blair,IN,2021-10-18 05:37:46,11.6667,92.75,84.24,74,91,10.6
256,Puerto Del Rosario,ES,2021-10-18 05:37:46,28.5004,-13.8627,69.55,94,0,8.05
257,Puerto Ayora,EC,2021-10-18 05:37:47,-0.7393,-90.3518,69.55,91,99,7.0
258,Sinnamary,GF,2021-10-18 05:37:47,5.3833,-52.95,78.73,87,62,6.98
259,San Patricio,US,2021-10-18 05:37:48,28.017,-97.5169,71.46,63,45,5.97
260,Kavieng,PG,2021-10-18 05:37:48,-2.5744,150.7967,85.5,67,72,12.46
261,Imeni Poliny Osipenko,RU,2021-10-18 05:37:49,52.4201,136.4853,27.64,59,9,4.61
262,Nouadhibou,MR,2021-10-18 05:37:49,20.931,-17.0347,73.6,59,13,15.75
263,General Roca,AR,2021-10-18 05:37:50,-39.0333,-67.5833,50.4,31,0,6.78
264,Aklavik,CA,2021-10-18 05:37:50,68.2191,-135.0107,23.72,87,12,7.07
265,Avera,US,2021-10-18 05:37:51,33.194,-82.5271,51.71,54,0,7.31
266,Pathein,MM,2021-10-18 05:37:51,16.7833,94.7333,82.81,82,100,7.65
267,Kharan,PK,2021-10-18 05:37:52,28.5833,65.4167,73.65,9,0,3.18
268,Tayshet,RU,2021-10-18 05:37:52,55.9342,98.0044,43.65,54,5,2.93
269,Doctor Juan Leon Mallorquin,PY,2021-10-18 05:37:53,-25.4,-55.2667,64.13,99,17,2.64
270,Clearwater,US,2021-10-18 05:37:53,27.9659,-82.8001,71.53,74,1,13.0
271,Karasjok,NO,2021-10-18 05:37:54,69.4719,25.5112,32.11,85,68,19.73
272,Marakkanam,IN,2021-10-18 05:37:54,12.2,79.95,87.85,63,100,7.85
273,Santa Fe,AR,2021-10-18 05:37:55,-31.6333,-60.7,56.75,92,22,4.7
274,Ixtapa,MX,2021-10-18 05:37:55,20.7,-105.2,75.07,94,26,2.19
275,Kursavka,RU,2021-10-18 05:37:56,44.4564,42.5093,56.01,90,100,6.22
276,Awjilah,LY,2021-10-18 05:37:56,29.1081,21.2869,68.11,38,0,7.96
277,Plouzane,FR,2021-10-18 05:37:57,48.3833,-4.6167,61.12,94,90,16.11
278,Touros,BR,2021-10-18 05:37:57,-5.1989,-35.4608,74.3,79,51,11.65
279,Carauari,BR,2021-10-18 05:37:58,-4.8828,-66.8958,72.7,99,93,1.41
280,Chuy,UY,2021-10-18 05:37:58,-33.6971,-53.4616,48.33,85,34,4.65
281,Batemans Bay,AU,2021-10-18 05:37:59,-35.7167,150.1833,77.2,53,52,5.41
282,Sobolevo,RU,2021-10-18 05:37:59,54.4299,31.8996,42.39,84,99,12.73
283,Bonavista,CA,2021-10-18 05:38:00,48.6499,-53.1147,43.12,89,100,8.93
284,Saint-Philippe,RE,2021-10-18 05:38:00,-21.3585,55.7679,80.47,74,48,15.9
285,Deloraine,AU,2021-10-18 05:38:01,-41.5333,146.6667,57.36,59,100,4.0
286,Olafsvik,IS,2021-10-18 05:38:02,64.8945,-23.7142,38.84,95,100,27.63
287,Carmen,MX,2021-10-18 05:35:43,18.6333,-91.8333,84.24,74,90,12.66
288,Yellowknife,CA,2021-10-18 05:38:02,62.456,-114.3525,33.42,100,75,8.05
